Date,Event-Code,Total-Rounds,Fighter_1,Fighter_2,F1_W,Decision - Split,F1_Knockdowns,F1_Significant-Strike-Land,F1_Significant-Strike-Attempt,F1_Total-Strikes-Land,F1_Total-Strikes-Attempt,F1_Takedown-Success,F1_Takedown-Land,F1_Control-Time-Sec,F2_Date,F2_W,F2_Knockdowns,F2_Significant-Strike-Land,F2_Significant-Strike-Attempt,F2_Total-Strikes-Land,F2_Total-Strikes-Attempt,F2_Takedown-Success,F2_Takedown-Land,F2_Control-Time-Sec,Knockdowns_Diff,Significant-Strike-Land_Diff,Significant-Strike-Attempt_Diff,Total-Strikes-Land_Diff,Total-Strikes-Attempt_Diff,Takedown-Success_Diff,Takedown-Land_Diff,Control-Time-Sec_Diff,Fight_ID,Judge-1-Name,Judge-1-Score,Judge-2-Name,Judge-2-Score,Judge-3-Name,Judge-3-Score,F1_media_votes,F2_media_votes,media_votes_draw,media_votes_count,media_votes_correct
2008-06-21,2299605af59fd309,3,Evan Tanner,Kendall Grove,0,1,0,27,47,35,57,3,8,539,2008-06-21 00:00:00,1,0,59,96,90,127,0,0,82,0,32,49,55,70,-3,-8,-457,1031,Al Lefkowitz,28-29,Marcos Rosales,30-26,Glenn Trowbridge,30-26,0,5,0,5,True
2008-07-05,bf12aca029bfcc47,3,Patrick Cote,Ricardo Almeida,1,1,0,24,64,39,80,0,0,105,2008-07-05 00:00:00,0,0,26,62,36,72,2,11,296,0,-2,2,3,8,-2,-11,-191,1039,Patricia Morse Jarman,29-28,Glenn Trowbridge,28-29,Tony Weeks,29-28,6,0,0,6,True
2008-09-06,0db70ca89e1c7374,3,Dong Hyun Kim,Matt Brown,1,1,0,12,28,18,36,3,14,304,2008-09-06 00:00:00,0,0,48,79,91,126,1,2,308,0,-36,-51,-73,-90,2,12,-4,1068,Douglas Crosby,29-28,Tony Mullinax,29-28,Cecil Peoples,28-29,4,1,0,5,True
2008-09-06,0db70ca89e1c7374,3,Roan Carneiro,Ryo Chonan,0,1,0,18,38,68,92,2,6,319,2008-09-06 00:00:00,1,0,23,58,72,111,0,0,460,0,5,20,4,19,-2,-6,141,1064,Douglas Crosby,29-28,Chris Lee,28-29,Tony Mullinax,29-28,2,1,0,3,True
2008-09-17,279093302a6f44b3,3,Josh Neer,Nate Diaz,0,1,0,26,50,48,74,4,8,336,2008-09-17 00:00:00,1,0,40,72,114,157,5,11,449,0,14,22,66,83,1,3,113,1083,Douglas Crosby,28-29,Jeff Mullen,29-28,Cecil Peoples,29-28,0,5,0,5,True
2008-09-17,279093302a6f44b3,3,Alan Belcher,Ed Herman,1,1,0,54,90,67,103,0,0,144,2008-09-17 00:00:00,0,0,43,130,86,175,5,12,289,0,11,-40,-19,-72,-5,-12,-145,1081,Douglas Crosby,29-28,Cecil Peoples,29-28,Jeff Sinnett,29-28,1,5,0,6,True
2008-10-18,312f47c3d2f83ffa,3,Akihiro Gono,Dan Hardy,0,1,0,56,107,58,109,3,4,66,2008-10-18 00:00:00,1,0,57,186,61,190,0,0,2,0,1,79,3,81,-3,-4,-64,1092,Chris Lee,29-28,Andy Roberts,29-28,Tim Vannatta,28-29,0,3,0,3,True
2008-10-18,312f47c3d2f83ffa,3,Brandon Vera,Keith Jardine,0,1,1,48,86,57,95,1,1,38,2008-10-18 00:00:00,1,1,50,131,59,140,2,4,220,0,2,45,2,45,1,3,182,1096,Chris Lee,28-29,Tim Vannatta,29-28,Chris Watts,29-28,0,4,0,4,True
2008-12-13,ea398c802d9998ee,3,George Roop,Shane Nelson,0,1,0,21,74,93,153,1,1,237,2008-12-13 00:00:00,1,0,10,32,69,95,3,10,478,0,-11,-42,-24,-58,2,9,241,1132,Adalaide Byrd,29-28,Al Lefkowitz,28-29,Marcos Rosales,29-28,0,2,0,2,True
2009-01-17,68c6cd5287b473a7,3,Chris Lytle,Marcus Davis,0,1,0,73,198,91,216,0,0,3,2009-01-17 00:00:00,1,0,59,166,73,180,0,1,6,0,-14,-32,-18,-36,0,1,3,1157,Chris Lee,29-28,Andy Roberts,29-28,Tim Vannatta,28-29,0,4,0,4,True
2009-01-17,68c6cd5287b473a7,3,Dan Henderson,Rich Franklin,1,1,0,36,88,43,96,4,6,306,2009-01-17 00:00:00,0,0,39,96,47,106,0,0,93,0,-3,-8,-4,-10,4,6,213,1161,Chris Lee,29-28,Tim Vannatta,29-28,Chris Watts,27-30,3,2,1,6,True
2009-01-31,2a542ee8a8b83559,3,Clay Guida,Nate Diaz,1,1,0,49,99,75,127,4,11,530,2009-01-31 00:00:00,0,0,49,135,70,158,0,8,50,0,0,-36,5,-31,4,3,480,1167,Nelson Hamilton,29-28,Patricia Morse Jarman,28-29,Roy Silbert,29-28,4,0,1,5,True
2009-01-31,2a542ee8a8b83559,3,Chris Wilson,John Howard,0,1,0,45,82,67,107,2,6,191,2009-01-31 00:00:00,1,0,21,41,80,106,7,7,361,0,-24,-41,13,-1,5,1,170,1164,Patricia Morse Jarman,29-28,Cecil Peoples,28-29,Roy Silbert,29-28,0,3,0,3,True
2009-01-31,2a542ee8a8b83559,3,Dan Cramer,Matt Arroyo,1,1,0,24,68,38,90,0,0,653,2009-01-31 00:00:00,0,0,16,25,148,164,2,5,145,0,8,43,-110,-74,-2,-5,508,1162,Douglas Crosby,29-28,Patricia Morse Jarman,29-28,Roy Silbert,28-29,3,0,0,3,True
2009-01-31,2a542ee8a8b83559,3,Christian Wellisch,Jake O'Brien,0,1,0,46,179,67,200,0,1,4,2009-01-31 00:00:00,1,1,25,84,61,122,9,11,314,1,-21,-95,-6,-78,9,10,310,1163,Nelson Hamilton,29-28,Cecil Peoples,29-28,Marcos Rosales,28-29,1,2,0,3,True
2009-04-01,04d5718ed2661e8c,3,Carlos Condit,Martin Kampmann,0,1,0,35,86,71,124,3,4,190,2009-04-01 00:00:00,1,0,26,61,52,91,5,5,468,0,-9,-25,-19,-33,2,1,278,1217,Douglas Crosby,29-28,Nelson Hamilton,29-28,Cecil Peoples,28-29,1,4,1,6,True
