,Judge,Cluster_0_Count,Cluster_1_Count,Cluster_2_Count,Cluster_3_Count,Cluster_4_Count,Cluster_5_Count,Cluster_0_Prop,Cluster_1_Prop,Cluster_2_Prop,Cluster_3_Prop,Cluster_4_Prop,Cluster_5_Prop,Cluster_0_Prop_media,Cluster_1_Prop_media,Cluster_2_Prop_media,Cluster_3_Prop_media,Cluster_4_Prop_media,Cluster_5_Prop_media,Total_Count,Overall_Prop
13,Sal D'Amato,13,44,27,20,4,13,0.7692307692307693,0.5909090909090909,0.7407407407407407,0.6,0.25,1.0,0.38461538461538464,0.4318181818181818,0.6666666666666666,0.75,0.25,0.6153846153846154,121,0.6776859504132231
14,Dave Hagen,3,15,9,9,0,2,1.0,0.8,0.5555555555555556,0.6666666666666666,-1.0,1.0,0.6666666666666666,0.7333333333333333,0.6666666666666666,0.4444444444444444,-1.0,1.0,38,0.7368421052631579
15,Jeff Blatnick,2,6,3,0,0,0,1.0,0.8333333333333334,0.6666666666666666,-1.0,-1.0,-1.0,1.0,0.5,0.6666666666666666,-1.0,-1.0,-1.0,11,0.8181818181818182
16,Pasquale Procopio,1,1,1,1,0,0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,4,1.0
17,Luis Cobian,2,0,1,0,0,0,1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,0.0,-1.0,-1.0,-1.0,3,0.6666666666666666
18,Kelvin Caldwell,0,5,1,1,0,1,-1.0,0.8,0.0,0.0,-1.0,0.0,-1.0,0.8,1.0,0.0,-1.0,0.0,8,0.5
19,Mike Beltran,0,1,0,3,0,1,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,0.3333333333333333,-1.0,0.0,5,1.0
20,Junichiro Kamijo,5,14,6,8,0,4,1.0,0.8571428571428571,0.8333333333333334,0.625,-1.0,0.5,0.8,0.6428571428571429,0.5,0.75,-1.0,0.25,37,0.7837837837837838
21,Mark Collett,2,10,2,6,1,4,1.0,0.9,0.5,0.16666666666666666,1.0,1.0,0.5,0.6,0.5,0.6666666666666666,1.0,0.75,25,0.72
22,Jeff Collins,0,1,0,2,1,1,-1.0,0.0,-1.0,1.0,1.0,0.0,-1.0,0.0,-1.0,0.0,1.0,0.0,5,0.6
23,Derek Cleary,9,23,8,17,4,10,0.8888888888888888,0.6086956521739131,1.0,0.7058823529411765,1.0,0.5,0.6666666666666666,0.6521739130434783,0.75,0.5294117647058824,0.75,0.5,71,0.7183098591549296
24,Hector Gomez,0,0,0,3,0,1,-1.0,-1.0,-1.0,1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,4,0.75
25,Eric Colon,1,7,2,7,0,0,0.0,0.7142857142857143,0.5,1.0,-1.0,-1.0,0.0,0.42857142857142855,0.5,0.5714285714285714,-1.0,-1.0,17,0.7647058823529411
26,Aaron Chatfield,0,1,0,1,1,1,-1.0,1.0,-1.0,1.0,0.0,1.0,-1.0,0.0,-1.0,0.0,0.0,1.0,4,0.75
27,Cardo Urso,1,15,5,8,3,0,1.0,0.6,0.4,0.875,0.6666666666666666,-1.0,1.0,0.6,0.2,0.25,0.6666666666666666,-1.0,32,0.65625
28,Mark Smith,1,1,3,2,2,2,1.0,0.0,1.0,0.5,0.5,0.5,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,11,0.6363636363636364
29,Michael Bell,2,14,5,8,1,3,0.5,0.5714285714285714,0.8,0.75,1.0,1.0,0.5,0.42857142857142855,0.8,0.625,1.0,0.3333333333333333,33,0.696969696969697
30,Ben Cartlidge,2,4,8,4,2,2,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.75,0.625,0.75,0.5,0.5,22,0.7727272727272727
31,Dr. Greg Jackson,0,3,1,2,0,0,-1.0,0.6666666666666666,0.0,0.0,-1.0,-1.0,-1.0,0.6666666666666666,0.0,0.5,-1.0,-1.0,6,0.3333333333333333
32,Guilherme Bravo,1,4,5,5,1,1,0.0,0.75,0.8,0.4,1.0,1.0,1.0,0.0,1.0,0.2,1.0,1.0,17,0.6470588235294118
33,Howard Hughes,3,7,5,5,6,5,0.6666666666666666,0.7142857142857143,1.0,1.0,0.5,0.6,0.3333333333333333,0.5714285714285714,0.6,0.2,0.5,0.4,31,0.7419354838709677
34,Marco Aurelio Borges,1,1,1,0,0,1,0.0,0.0,1.0,-1.0,-1.0,1.0,0.0,0.0,1.0,-1.0,-1.0,1.0,4,0.5
35,Aladin Martinez,0,2,4,1,0,0,-1.0,1.0,0.75,0.0,-1.0,-1.0,-1.0,0.0,0.75,1.0,-1.0,-1.0,7,0.7142857142857143
36,John Cooper,0,1,0,1,1,0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,0.0,1.0,-1.0,3,1.0
37,Anthony Dimitriou,0,5,1,3,0,0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,0.4,1.0,0.3333333333333333,-1.0,-1.0,9,1.0
38,Marcos Rosales,7,18,13,10,4,5,0.5714285714285714,0.7777777777777778,0.6153846153846154,0.6,0.75,0.6,0.42857142857142855,0.4444444444444444,0.46153846153846156,0.5,0.5,0.6,57,0.6666666666666666
39,Ron McCarthy,0,6,4,3,0,0,-1.0,0.8333333333333334,0.75,1.0,-1.0,-1.0,-1.0,0.6666666666666666,0.75,0.3333333333333333,-1.0,-1.0,13,0.8461538461538461
40,Mark Craig,0,1,1,2,2,0,-1.0,0.0,1.0,0.5,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,6,0.3333333333333333
41,Evan Field,0,10,3,2,1,1,-1.0,0.6,0.3333333333333333,1.0,1.0,1.0,-1.0,0.5,0.3333333333333333,0.5,1.0,1.0,17,0.6470588235294118
42,Eric Colón,3,5,4,3,1,1,0.6666666666666666,0.6,0.75,0.6666666666666666,1.0,1.0,0.6666666666666666,0.8,0.75,0.6666666666666666,1.0,1.0,17,0.7058823529411765
43,Hallison Pontes,0,0,3,1,2,1,-1.0,-1.0,0.3333333333333333,1.0,0.5,0.0,-1.0,-1.0,0.3333333333333333,0.0,1.0,0.0,7,0.42857142857142855
44,Joseph Terrell,0,1,4,3,1,0,-1.0,1.0,1.0,0.6666666666666666,1.0,-1.0,-1.0,1.0,1.0,1.0,0.0,-1.0,9,0.8888888888888888
45,Ken Coffey,0,2,0,0,2,1,-1.0,1.0,-1.0,-1.0,0.5,1.0,-1.0,1.0,-1.0,-1.0,0.5,1.0,5,0.8
46,Maciej Motylewski,0,0,2,2,0,0,-1.0,-1.0,0.5,0.5,-1.0,-1.0,-1.0,-1.0,0.5,1.0,-1.0,-1.0,4,0.5
47,Andreas Gruner,0,2,0,2,0,0,-1.0,0.0,-1.0,0.5,-1.0,-1.0,-1.0,0.0,-1.0,0.5,-1.0,-1.0,4,0.25
48,Chris Flores,0,0,2,0,1,0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.5,-1.0,0.0,-1.0,3,1.0
49,Brian Puccillo,0,7,2,3,0,1,-1.0,0.7142857142857143,1.0,0.6666666666666666,-1.0,1.0,-1.0,0.42857142857142855,1.0,1.0,-1.0,0.0,13,0.7692307692307693
50,Mans Nilsson,1,0,0,1,0,1,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,3,1.0
51,Kon Papaioannou,0,1,2,4,1,0,-1.0,1.0,0.5,0.75,0.0,-1.0,-1.0,1.0,0.0,0.75,0.0,-1.0,8,0.625
52,Phillipe Iorio,0,0,1,4,0,0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,5,1.0
53,David Lethaby,1,2,4,1,1,0,0.0,1.0,0.75,0.0,0.0,-1.0,1.0,0.5,0.75,1.0,0.0,-1.0,9,0.5555555555555556
54,Howie Booth,0,1,0,0,2,0,-1.0,0.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,3,0.6666666666666666
55,Garth Harriman,2,2,0,4,2,0,0.5,0.5,-1.0,0.5,1.0,-1.0,0.5,0.5,-1.0,0.75,1.0,-1.0,10,0.6
56,Lukasz Bosacki,0,0,1,2,0,1,-1.0,-1.0,1.0,1.0,-1.0,0.0,-1.0,-1.0,1.0,0.0,-1.0,1.0,4,0.75
57,Danny Dealejandro,0,1,1,1,0,0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,0.0,1.0,0.0,-1.0,-1.0,3,1.0
58,JJ Ferraro,0,3,0,0,0,1,-1.0,0.6666666666666666,-1.0,-1.0,-1.0,1.0,-1.0,0.6666666666666666,-1.0,-1.0,-1.0,1.0,4,0.75
59,Dalby Shirley,1,1,1,0,0,0,1.0,1.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,-1.0,3,0.6666666666666666
60,Hector Hernandez,1,0,1,0,0,1,1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,1.0,3,0.3333333333333333
