Fighter_1,Fighter_2,Fight_ID,F1_W,Judge-1-Name,Judge-1-Score,Judge-2-Name,Judge-2-Score,Judge-3-Name,Judge-3-Score
Gleison Tibau,Jamie Varner,4435,1,Sal D'Amato,29-28,Brian Puccillo,29-28,Otto Torriero,27-29
Jesse Ronson,Michel Prazeres,4508,0,Brian Beauchamp,28-29,Graham Bettes,29-28,Benoit Roussel,29-28
Mike Ricci,Myles Jury,4513,0,Richard Bertrand,29-28,Douglas Crosby,28-29,Chris Lee,29-28
Alex Caceres,Roland Delorme,4507,1,Brian Beauchamp,28-29,Graham Bettes,29-28,Benoit Roussel,29-28
Raphael Assuncao,TJ Dillashaw,4558,1,Richard Bertrand,29-28,Sal D'Amato,28-29,Brian Puccillo,29-28
Fabio Maldonado,Joey Beltran,4560,1,Richard Bertrand,28-29,Guilherme Bravo,29-28,Sal D'Amato,29-28
CB Dollaway,Tim Boetsch,4591,0,Gino Garcia,27-29,Ruben Najera,30-26,Jon Schorle,30-26
Demian Maia,Jake Shields,4563,0,Richard Bertrand,48-47,Guilherme Bravo,47-48,Sal D'Amato,48-47
Brian Houston,Trevor Smith,4815,0,Richard Bertrand,29-28,Derek Cleary,28-29,Ken Coffey,29-28
Dustin Ortiz,John Moraga,4819,0,Richard Bertrand,29-28,Nate Mann,29-28,Glenn Trowbridge,28-29
Albert Tumenov,Ildemar Alcantara,4869,0,Marco Aurelio Borges,28-29,Vinicius Lins,30-27,Tony Weeks,29-28
Nick Catone,Tom Watson,4849,1,Michelle Agustin,30-27,Tony Tamburrino,29-28,Cardo Urso,28-29
Iuri Alcantara,Wilson Reis,4871,1,Richard Bertrand,30-27,Vinicius Lins,30-27,Tony Weeks,28-29
Benson Henderson,Josh Thomson,4844,1,Sal D'Amato,49-46,Brian Puccillo,48-47,Gabriel Sabaitis,47-48
Francisco Trinaldo,Jesse Ronson,4872,1,Marco Aurelio Borges,28-29,Vinicius Lins,29-28,Tony Weeks,30-27
Kazuki Tokudome,Yui Chul Nam,4906,0,Tom Harris,29-27,Howard Hughes,29-28,Chris Watts,27-28
Cezar Ferreira,Daniel Sarafian,4683,1,Douglas Crosby,30-28,Marcos Rosales,28-29,Otto Torriero,30-27
Alexis Davis,Jessica Eye,4886,1,Junichiro Kamijo,29-28,Chris Lee,28-29,Marcos Rosales,29-28
Bethe Correia,Julie Kedzie,4734,1,Barry Foley,29-28,Peter Hickmott,28-29,Charlie Keech,29-28
Robbie Lawler,Rory MacDonald,4705,1,Cecil Peoples,29-28,Mark Smith,29-28,Glenn Trowbridge,28-29
Rani Yahya,Tom Niinimaki,4722,0,Chris Lee,29-28,Patricia Morse Jarman,28-29,Tony Weeks,30-27
Alex Garcia,Sean Spencer,4956,1,Aladin Martinez,30-27,Dan Mathisen,28-29,Troy Wincapaw,29-28
Francimar Barroso,Hans Stringer,4987,0,Fernando Amaral,29-28,Richard Bertrand,28-29,Guilherme Bravo,29-28
Jessica Andrade,Raquel Pennington,4958,1,Aladin Martinez,29-28,Dan Mathisen,28-29,Troy Wincapaw,29-28
Alptekin Ozkilic,Darren Uyenoyama,4768,1,Michael Bell,29-28,Edward Collantes,28-29,Marcos Rosales,30-27
Georges St-Pierre,Johny Hendricks,4707,1,Sal D'Amato,48-47,Glenn Trowbridge,47-48,Tony Weeks,48-47
Alan Omer,Jim Alers,5035,0,Howard Hughes,29-28,Andy Roberts,29-28,Dean Weir,28-29
Kelvin Gastelum,Rick Story,4959,1,Douglas Crosby,28-29,Mike Gonzalez,30-27,Aladin Martinez,29-28
Mark Bocek,Mike de la Torre,5067,1,Richard Bertrand,28-29,Sal D'Amato,29-28,Erick Philippeaux,30-27
Chad Laprise,Olivier Aubin-Mercier,5073,1,Sal D'Amato,30-27,Erick Philippeaux,28-29,David Therien,29-28
David Michaud,Li Jingliang,5179,0,Dave Hagen,28-29,Junichiro Kamijo,29-28,Tony Weeks,30-27
Dustin Ortiz,Ray Borg,5087,1,Derek Cleary,29-28,Hector Gomez,28-29,Chris Lee,29-28
Hernani Perpetuo,Jordan Mein,5088,0,Richard Bertrand,29-28,Derek Cleary,29-28,Jean Warring,28-29
Luke Barnatt,Sean Strickland,5198,0,Mark Collett,28-29,Andy Haigh,30-27,Howard Hughes,29-28
Chris Cariaso,Louis Smolka,5159,1,Sal D'Amato,28-29,Chris Lee,29-28,Cardo Urso,29-28
Gian Villante,Sean O'Connell,5273,1,Anthony Dimitriou,29-28,Charlie Keech,28-29,Kon Papaioannou,29-28
Andy Enz,Marcelo Guimaraes,5277,0,Aladin Martinez,29-28,Juan Munoz,29-28,Joe Soliz,27-30
Elizabeth Phillips,Valerie Letourneau,5255,0,John Cooper,29-28,Sal D'Amato,29-28,David Therien,28-29
Andrei Arlovski,Brendan Schaub,5258,1,Sal D'Amato,29-28,David Therien,29-28,Tony Weeks,28-29
Antonio Braga Neto,Clint Hester,5279,0,Sal D'Amato,28-29,Aladin Martinez,29-28,Joe Soliz,29-28
Diego Sanchez,Ross Pearson,5249,1,Jeff Collins,30-27,Marcos Rosales,27-30,Chris Tellez,29-28
James Moontasri,Joe Ellenberger,5278,0,Aladin Martinez,28-29,Juan Munoz,29-28,Joe Soliz,29-28
Elizabeth Phillips,Milana Dudieva,5406,0,Anthony Dimitriou,30-27,Garth Harriman,28-29,Howard Hughes,29-28
Lauren Murphy,Sara McMann,5380,0,Lars Borssen,29-28,Chris Lee,28-29,William McKinnon,29-28
Royston Wee,Yao Zhikui,5407,1,Howard Hughes,29-28,Charlie Keech,27-30,Paul Sutherland,29-28
Chris Camozzi,Rafael Natal,5438,0,Sal D'Amato,29-28,Sue Sanidad,29-28,Glenn Trowbridge,28-29
Danny Castillo,Tony Ferguson,5433,0,Michael Bell,29-28,Derek Cleary,29-28,Larry Landless,28-29
Marcus Brimage,Russell Doane,5308,0,Sal D'Amato,28-29,Junichiro Kamijo,29-28,Marcos Rosales,30-27
Bruno Santos,Chris Camozzi,5305,1,Douglas Crosby,28-29,Chris Lee,29-28,Glenn Trowbridge,29-28
Kyung Ho Kang,Michinori Tanaka,5510,1,Thomas Fan,29-28,Junichiro Kamijo,28-29,Kon Papaioannou,29-28
Bobby Green,Josh Thomson,5365,1,Michael Bell,28-29,Edward Collantes,29-28,Wade Vierra,29-28
Brian Ebersole,John Howard,5538,1,Lester Griffin,29-28,Marcos Rosales,29-28,Cardo Urso,28-29
Jesse Ronson,Kevin Lee,5318,0,Marcos Rosales,30-27,Roy Silbert,29-28,Glenn Trowbridge,28-29
Dustin Ortiz,Justin Scoggins,5319,1,Adalaide Byrd,28-29,Sal D'Amato,29-28,Chris Lee,29-28
Cathal Pendred,Gasan Umalatov,5559,1,Mark Collett,29-28,Jespar Gunnarson,29-28,Paul Sutherland,28-29
Jason Saggo,Paul Felder,5572,0,Chris Lee,28-29,Robert MacAvoy,29-28,Craig Smith,29-28
Claudio Silva,Leon Edwards,5668,1,Guilherme Bravo,28-29,Derek Cleary,29-28,Roy Silbert,29-28
Li Jingliang,Nordine Taleb,5576,0,Chris Lee,28-29,Robert MacAvoy,29-28,Craig Smith,30-27
Gunnar Nelson,Rick Story,5568,0,Jim Bergman,47-48,Mark Collett,49-46,Paul Sutherland,50-44
Darren Elkins,Lucas Martins,5631,1,Richard Bertrand,30-27,Eric Colón,30-27,Vinicius Lins,27-30
Luke Barnatt,Roger Narvaez,5721,0,Marcos Rosales,29-28,Jon Schorle,28-29,Anthony Townsend,29-28
Johny Hendricks,Robbie Lawler,5739,0,Sal D'Amato,47-48,Marcos Rosales,48-47,Glenn Trowbridge,49-46
Brad Pickett,Chico Camus,5726,0,Marcos Rosales,29-28,Jon Schorle,27-30,Anthony Townsend,29-28
Jessica Penne,Randa Markos,5746,1,Lester Griffin,28-29,Junichiro Kamijo,30-27,Tony Weeks,29-28
Claudia Gadelha,Joanna Jedrzejczyk,5757,0,Derek Cleary,29-28,Chris Flores,29-28,Marcos Rosales,28-29
Ildemar Alcantara,Richardson Moreira,5936,1,Lester Griffin,29-28,Junichiro Kamijo,28-29,Tony Weeks,29-28
Adriano Martins,Rustam Khabilov,5992,1,Marco Aurelio Borges,29-28,Guilherme Bravo,29-28,Marcos Rosales,28-29
Alex Torres,Masio Fullen,6007,0,Ron McCarthy,29-28,Marcos Rosales,29-28,Wade Vierra,28-29
Al Iaquinta,Jorge Masvidal,6071,1,Douglas Crosby,27-30,Dave Tirelli,29-28,Cardo Urso,29-28
James Krause,Valmir Lazaro,6008,0,Michael Bell,28-29,Marcos Rosales,29-28,Wade Vierra,29-28
Chris Dempsey,Eddie Gordon,6107,1,Michelle Agustin,29-28,Michael Depasquale Jr.,28-29,Cardo Urso,29-28
Jonavin Webb,Kyle Noke,6153,0,Barry Foley,29-28,Charlie Keech,29-28,Christopher Shen,27-30
Nolan Ticman,Yao Zhikui,6168,0,Evan Field,29-28,Barry Foley,28-29,Christopher Shen,29-28
Phillipe Nover,Yui Chul Nam,6179,1,Mark Craig,29-28,Barry Foley,28-29,Kon Papaioannou,29-28
Elizeu Zaleski dos Santos,Nicolas Dalby,6208,0,Guilherme Bravo,29-28,Felipe Frank,29-28,Rick Winter,28-29
Levan Makashvili,Mark Eddiva,6178,1,Evan Field,29-28,Kon Papaioannou,28-29,Christopher Shen,30-27
Jake Collier,Ricardo Abreu,6229,1,Myron Gaudet,29-28,Robbie Scheuermann,29-28,Cardo Urso,28-29
Eddie Alvarez,Gilbert Melendez,6249,1,Derek Cleary,29-28,Sal D'Amato,29-28,Chris Lee,28-29
Cathal Pendred,John Howard,6300,0,Adalaide Byrd,29-28,Marcos Rosales,29-28,Tony Weeks,28-29
Rafael Natal,Uriah Hall,6188,1,Sal D'Amato,29-28,Junichiro Kamijo,29-28,Patricia Morse Jarman,28-29
Charles Rosa,Yair Rodriguez,6247,0,Derek Cleary,29-28,Chris Lee,29-28,Glenn Trowbridge,28-29
Hacran Dias,Levan Makashvili,6292,1,Richard Bertrand,29-28,Hector Gomez,29-28,Eliseo Rodriguez,28-29
