Date,Event-Code,Total-Rounds,Fighter_1,Fighter_2,F1_W,Decision - Split,Judge-1-Name,F1_Judge-1-Score,Judge-2-Name,F1_Judge-2-Score,Judge-3-Name,F1_Judge-3-Score,F1_Knockdowns,F1_Significant-Strike-Land,F1_Significant-Strike-Attempt,F1_Total-Strikes-Land,F1_Total-Strikes-Attempt,F1_Takedown-Success,F1_Takedown-Land,F1_Control-Time-Sec,F2_Date,F2_W,F2_Judge-1-Score,F2_Judge-2-Score,F2_Judge-3-Score,F2_Knockdowns,F2_Significant-Strike-Land,F2_Significant-Strike-Attempt,F2_Total-Strikes-Land,F2_Total-Strikes-Attempt,F2_Takedown-Success,F2_Takedown-Land,F2_Control-Time-Sec,Knockdowns_Diff,Significant-Strike-Land_Diff,Significant-Strike-Attempt_Diff,Total-Strikes-Land_Diff,Total-Strikes-Attempt_Diff,Takedown-Success_Diff,Takedown-Land_Diff,Control-Time-Sec_Diff
2016-10-01,a196332ee4aa8a82,3,Kelly Faszholz,Ketlen Vieira,0,1,Rick Campos,29 - 28,Sal D'Amato,28 - 29,Jeff Mullen,28 - 29,0,44,104,113,178,0,1,45,2016-10-01 00:00:00,1,28 - 29,29 - 28,29 - 28,0,13,57,67,120,4,6,504,0,-31,-47,-46,-58,4,5,459
2016-10-01,a196332ee4aa8a82,5,John Dodson,John Lineker,0,1,Sal D'Amato,48 - 47,Marcos Rosales,47 - 48,Glenn Trowbridge,47 - 48,0,101,191,101,191,0,6,23,2016-10-01 00:00:00,1,47 - 48,48 - 47,48 - 47,0,93,322,94,323,0,0,0,0,-8,131,-7,132,0,-6,-23
2016-10-01,a196332ee4aa8a82,3,Joshua Burkman,Zak Ottow,0,1,Sal D'Amato,29 - 28,Jeff Mullen,28 - 29,Glenn Trowbridge,29 - 28,0,47,126,50,129,1,4,76,2016-10-01 00:00:00,1,28 - 29,29 - 28,28 - 29,0,65,149,80,165,0,2,9,0,18,23,30,36,-1,-2,-67
2016-10-01,a196332ee4aa8a82,3,Shamil Abdurakhimov,Walt Harris,1,1,Sal D'Amato,29 - 28,Dave Hagen,28 - 29,Marcos Rosales,28 - 29,0,47,128,52,135,1,8,44,2016-10-01 00:00:00,0,28 - 29,29 - 28,29 - 28,0,33,98,36,101,0,0,29,0,14,30,16,34,1,8,15
2016-10-08,154a6b3ffae264cd,3,Adriano Martins,Leonardo Santos,0,1,Maciej Motylewski,28 - 29,Jeff Mullen,29 - 28,Paul Sutherland,28 - 29,0,34,83,34,84,0,0,0,2016-10-08 00:00:00,1,29 - 28,28 - 29,29 - 28,0,23,70,23,70,0,1,0,0,-11,-13,-11,-14,0,1,0
2016-11-05,6083f497c22cc075,3,Erik Perez,Felipe Arantes,1,1,Sal D'Amato,29 - 28,Jeff Mullen,28 - 29,Marcos Rosales,29 - 28,0,36,96,103,177,3,5,426,2016-11-05 00:00:00,0,28 - 29,29 - 28,28 - 29,0,34,68,42,76,0,0,116,0,2,28,61,101,3,5,310
2016-11-05,6083f497c22cc075,3,Jason Novelli,Marco Polo Reyes,0,1,Jeff Mullen,28 - 29,Brian Puccillo,29 - 28,Marcos Rosales,28 - 29,0,29,126,51,151,1,3,64,2016-11-05 00:00:00,1,29 - 28,28 - 29,29 - 28,0,50,166,67,183,0,0,153,0,21,40,16,32,-1,-3,89
2016-11-12,4956f60b7fa57c1a,3,Katlyn Chookagian,Liz Carmouche,0,1,Chris Lee,28 - 29,Glenn Trowbridge,29 - 28,Cardo Urso,28 - 29,1,22,115,64,160,0,0,10,2016-11-12 00:00:00,1,29 - 28,28 - 29,29 - 28,0,27,64,49,88,4,7,456,-1,5,-51,-15,-72,4,7,446
2016-11-19,6810d8d2dd557cf9,3,Alexander Volkov,Timothy Johnson,1,1,Howard Hughes,29 - 28,Takeo Kobayashi,27 - 30,Peter Lavery,29 - 28,0,45,84,91,141,1,2,225,2016-11-19 00:00:00,0,28 - 29,30 - 27,28 - 29,1,43,93,62,116,1,8,273,-1,2,-9,29,25,0,-6,-48
2016-11-19,6810d8d2dd557cf9,3,Ross Pearson,Stevie Ray,0,1,Andreas Gruner,27 - 30,Pawel Harasim,30 - 27,Takeo Kobayashi,27 - 30,0,38,92,48,104,0,0,8,2016-11-19 00:00:00,1,30 - 27,27 - 30,30 - 27,0,49,117,50,119,1,3,192,0,11,25,2,15,1,3,184
