,Fighter_1,Fighter_2,F1_W,F1_W_media,Judge-1-Name,Judge-2-Name,Judge-3-Name,Judge-1-Score,Judge-2-Score,Judge-3-Score,Judge-1-Agreement,Judge-2-Agreement,Judge-3-Agreement,Cluster,media_Agreement,Judge-1-Agreement_media,Judge-2-Agreement_media,Judge-3-Agreement_media
75,Jake Shields,Martin Kampmann,1,1,Nelson Hamilton,Unknown Judge,Unknown Judge,30-27,29-28,28-29,1,1,0,4,1,1,1,0
76,Chris Camozzi,Dongi Yang,1,1,Nelson Hamilton,Larry Landless,Cecil Peoples,29-28,28-29,29-28,1,0,1,5,1,1,0,1
77,Paul Taylor,Sam Stout,0,1,Mike Beltran,Larry Landless,Cecil Peoples,29-28,28-29,30-27,1,0,1,0,0,0,1,0
78,Duane Ludwig,Nick Osipczak,1,0,Richard Bertrand,Howard Hughes,Chris Watts,29-28,29-28,28-29,1,1,0,3,0,0,0,1
79,Lyoto Machida,Quinton Jackson,0,1,Jeff Blatnick,Sal D'Amato,Nelson Hamilton,29-28,29-28,28-29,1,1,0,4,0,0,0,1
80,Nik Lentz,Tyson Griffin,1,0,Jeff Blatnick,Sal D'Amato,Nelson Hamilton,29-28,29-28,27-30,1,1,0,5,0,0,0,1
81,Leonard Garcia,Nam Phan,1,0,Adalaide Byrd,Junichiro Kamijo,Tony Weeks,29-28,27-30,29-28,1,0,1,0,0,0,1,0
82,Dan Miller,Joe Doerksen,1,1,Sal D'Amato,Richard DeCarufel,Tony Weeks,29-28,28-29,29-28,1,0,1,4,1,1,0,1
83,Diego Nunes,Mike Brown,1,1,Lester Griffin,Patricia Morse Jarman,Glenn Trowbridge,28-29,29-28,29-28,0,1,1,5,1,0,1,1
84,Antonio Mckee,Jacob Volkmann,0,0,Junichiro Kamijo,Glenn Trowbridge,Tony Weeks,29-28,29-28,28-29,1,1,0,4,1,1,1,0
85,Carlos Eduardo Rocha,Jake Ellenberger,0,0,Abe Belardo,Adalaide Byrd,Junichiro Kamijo,29-28,27-30,29-28,1,0,1,4,1,1,0,1
86,Reuben Duran,Takeya Mizugaki,0,0,Jeff Blatnick,William Mattingly,Andrew Tomazik,29-28,30-27,27-30,1,1,0,2,1,1,1,0
