,Fighter_1,Fighter_2,F1_W,F1_W_media,Judge-1-Name,Judge-2-Name,Judge-3-Name,Judge-1-Score,Judge-2-Score,Judge-3-Score,Judge-1-Agreement,Judge-2-Agreement,Judge-3-Agreement,Cluster,media_Agreement,Judge-1-Agreement_media,Judge-2-Agreement_media,Judge-3-Agreement_media
348,Carla Esparza,Randa Markos,0,1,Hubert Earle,Robert MacAvoy,Don Robinson,29-28,28-29,29-28,1,0,1,1,0,0,1,0
349,Albert Morales,Andre Soukhamthath,1,1,Sal D'Amato,Dave Hagen,Patricia Morse Jarman,29-28,29-28,28-29,1,1,0,3,1,1,1,0
350,Daniel Kelly,Rashad Evans,1,1,Derek Cleary,Dave Hagen,Chris Lee,29-28,29-28,28-29,1,1,0,3,1,1,1,0
351,Arnold Allen,Makwan Amirkhani,1,1,Mark Collett,Howard Hughes,Paul Sutherland,30-27,28-29,30-27,1,0,1,5,1,1,0,1
352,Brad Scott,Scott Askham,1,0,Ben Cartlidge,Takeo Kobayashi,Andy Roberts,29-28,29-28,28-29,1,1,0,3,0,0,0,1
353,Daniel Omielanczuk,Tim Johnson,0,0,Ben Cartlidge,Pawel Harasim,Takeo Kobayashi,30-27,28-29,29-28,1,0,1,2,1,1,0,1
354,Desmond Green,Josh Emmett,1,1,Douglas Crosby,Sal D'Amato,Dave Tirelli,29-28,30-27,28-29,1,1,0,3,1,1,1,0
355,Irene Aldana,Katlyn Cerminara,0,1,Derek Cleary,Eric Colon,Jeff Mullen,28-29,29-28,29-28,0,1,1,0,0,1,0,0
356,Bobby Green,Rashid Magomedov,0,0,Rob Francis,Brian Puccillo,Cardo Urso,28-29,29-28,29-28,0,1,1,3,1,0,1,1
357,Jeremy Stephens,Renato Moicano,0,0,Brian Puccillo,Marcos Rosales,Tony Weeks,29-28,28-29,29-28,1,0,1,3,1,1,0,1
358,David Branch,Krzysztof Jotko,1,1,Jeff Mullen,Chris Reed,Troy Wincapaw,29-28,28-29,29-28,1,0,1,4,1,1,0,1
359,Demian Maia,Jorge Masvidal,1,1,Sal D'Amato,Aladin Martinez,Jeff Mullen,29-28,28-29,29-28,1,0,1,4,1,1,0,1
360,Joaquim Silva,Reza Madadi,1,1,Andreas Grüner,Mans Nilsson,Andy Roberts,28-29,29-28,29-28,0,1,1,5,1,0,1,1
361,Abdul Razak Alhassan,Omari Akhmedov,0,0,Mans Nilsson,Andy Roberts,Jorgen Segerlind,30-27,30-27,28-29,1,1,0,2,1,1,1,0
362,Marlon Moraes,Raphael Assuncao,0,1,Fabio Alves,Guilherme Bravo,Phillipe Iorio,28-29,29-28,30-27,0,1,1,3,0,1,0,0
363,Kiichi Kunimoto,Zak Ottow,0,0,Peter Hickmott,Luke Hill,Charlie Keech,29-28,28-29,29-28,1,0,1,1,1,1,0,1
364,Darrell Horcher,Devin Powell,1,1,Gerald Ritter,Marcos Rosales,Cardo Urso,29-28,28-29,29-28,1,0,1,4,1,1,0,1
365,Drakkar Klose,Marc Diakiese,1,1,Derek Cleary,Jeff Mullen,Marcos Rosales,28-29,29-28,29-28,0,1,1,4,1,0,1,1
366,Elizeu Zaleski Dos Santos,Lyman Good,1,0,Douglas Crosby,Jeff Mullen,Cardo Urso,30-27,30-27,28-29,1,1,0,3,0,0,0,1
367,Darren Elkins,Dennis Bermudez,1,0,Douglas Crosby,Bryan Miner,Dave Tirelli,29-28,28-29,29-28,1,0,1,3,0,0,1,0
368,Gian Villante,Patrick Cummins,0,0,Sal D'Amato,Jeff Mullen,Dave Tirelli,28-29,29-28,29-28,0,1,1,3,1,0,1,1
369,Eric Shelton,Jarred Brooks,0,1,Guilherme Bravo,Brandon Saucedo,Wade Vierra,28-29,29-28,29-28,0,1,1,2,0,1,0,0
370,Alejandro Perez,Andre Soukhamthath,1,0,Miguel Jimenez,Jeff Mullen,Roy Silbert,28-29,29-28,29-28,0,1,1,3,0,1,0,0
371,Alexa Grasso,Randa Markos,1,1,Marcos Rosales,Roy Silbert,Dave Tirelli,29-28,29-28,28-29,1,1,0,5,1,1,1,0
372,Rashad Evans,Sam Alvey,0,0,Derek Cleary,Eric Colón,Jeff Mullen,29-28,29-28,28-29,1,1,0,1,1,1,1,0
373,Amanda Nunes,Valentina Shevchenko,1,0,Sal D'Amato,David Therien,Tony Weeks,48-47,48-47,47-48,1,1,0,3,0,0,0,1
374,Anthony Rocco Martin,Olivier Aubin-Mercier,0,0,Eric Colón,Greg Monskie,Jeff Mullen,28-29,29-28,29-28,0,1,1,2,1,0,1,1
375,Zu Anyanwu,Justin Ledet,0,0,Dave Brogan,Eric Colon,Cardo Urso,29-28,28-29,29-28,1,0,1,3,1,1,0,1
376,Alex Morono,Keita Nakamura,0,0,Ben Cartlidge,Barry Foley,Charlie Keech,29-28,28-29,29-28,1,0,1,4,1,1,0,1
377,Chan-Mi Jeon,Syuri Kondo,0,0,Ben Cartlidge,Anthony Dimitriou,Evan Field,30-27,30-27,28-29,1,1,0,0,1,1,1,0
378,Cody Stamann,Tom Duquesnoy,1,1,Chris Lee,Marcos Rosales,Rick Winter,28-29,30-27,29-28,0,1,1,4,1,0,1,1
379,Deiveson Figueiredo,Jarred Brooks,1,0,Guilherme Bravo,Phillipe Iorio,Dave Tirelli,27-30,29-28,29-28,0,1,1,5,0,1,0,0
380,John Dodson,Marlon Moraes,0,0,Brian Costello,Chris Lee,Ron Rodriguez,30-27,30-27,27-30,1,1,0,3,1,1,1,0
381,Cezar Ferreira,Nate Marquardt,1,1,Brian Costello,Chris Lee,Jeff Mullen,29-28,28-29,29-28,1,0,1,4,1,1,0,1
382,Belal Muhammad,Tim Means,1,1,Evan Field,Charlie Keech,Kevin Manderson,29-28,28-29,29-28,1,0,1,0,1,1,0,1
383,Damien Brown,Frank Camacho,0,0,Chris Aliendi,Evan Field,Kevin Manderson,29-28,30-27,28-29,1,1,0,0,1,1,1,0
384,Bojan Velickovic,Jake Matthews,0,1,Anthony Dimitriou,Storm Oshyer,Kon Papaioannou,29-28,29-28,28-29,1,1,0,2,0,0,0,1
385,Bec Rawlings,Jessica-Rose Clark,0,0,Evan Field,Charlie Keech,Storm Oshyer,28-29,29-28,29-28,0,1,1,3,1,0,1,1
386,Alex Caceres,Wang Guan,0,0,Kon Papaioannou,Christopher Shen,Paul Sutherland,28-29,29-28,29-28,0,1,1,3,1,0,1,1
387,Barb Honchak,Lauren Murphy,0,1,Derek Cleary,Junichiro Kamijo,Jeff Mullen,29-28,29-28,28-29,1,1,0,3,0,0,0,1
388,Cortney Casey,Felice Herrig,0,0,Sal D'Amato,Bryan Miner,Roy Silbert,29-28,29-28,28-29,1,1,0,0,1,1,1,0
389,Alexis Davis,Liz Carmouche,1,1,Derek Cleary,Ron McCarthy,Jason McCoy,29-28,29-28,28-29,1,1,0,2,1,1,1,0
390,Frankie Saenz,Merab Dvalishvili,1,0,Derek Cleary,Ron McCarthy,Marcos Rosales,28-29,29-28,29-28,0,1,1,5,0,1,0,0
391,Jessica Eye,Kalindra Faria,1,1,Sal D'Amato,Rob Francis,Brian Puccillo,29-28,28-29,29-28,1,0,1,4,1,1,0,1
392,Francimar Barroso,Gian Villante,0,0,David Ginsberg,Mike Mena,Dave Tirelli,30-27,30-27,28-29,1,1,0,3,1,1,1,0
393,Andre Fili,Dennis Bermudez,1,0,Pedro Claudio,Derek Cleary,Steve Elliott,29-28,29-28,27-30,1,1,0,0,0,0,0,1
394,Ji Yeon Kim,Justine Kish,1,0,Sal D'Amato,Steve Elliott,Cardo Urso,28-29,30-27,29-28,0,1,1,3,0,1,0,0
395,Eryk Anders,Lyoto Machida,0,1,Guilherme Bravo,Marcos Rosales,Tony Weeks,48-47,47-48,49-46,1,0,1,1,0,0,1,0
396,Sergio Moraes,Tim Means,1,0,Phillipe Iorio,Marcos Rosales,Tony Weeks,29-28,28-29,29-28,1,0,1,0,0,0,1,0
397,Ashley Yoder,Mackenzie Dern,0,0,Adalaide Byrd,Derek Cleary,Junichiro Kamijo,28-29,29-28,29-28,0,1,1,3,1,0,1,1
398,John Dodson,Pedro Munhoz,1,1,Adalaide Byrd,Sal D'Amato,Glenn Trowbridge,30-27,28-29,29-28,1,0,1,3,1,1,0,1
399,Cat Zingano,Ketlen Vieira,0,0,Sal D'Amato,Dave Hagen,Marcos Rosales,29-28,29-28,28-29,1,1,0,2,1,1,1,0
400,Bryan Caraway,Cody Stamann,0,1,Adalaide Byrd,Sal D'Amato,Glenn Trowbridge,29-28,29-28,28-29,1,1,0,1,0,0,0,1
401,Adam Milstead,Jordan Johnson,0,0,Chris Lee,Marcos Rosales,Tony Weeks,29-28,27-30,29-28,1,0,1,2,1,1,0,1
402,Kajan Johnson,Stevie Ray,1,1,David Lethaby,Andy Roberts,Paul Sutherland,29-28,29-28,28-29,1,1,0,4,1,1,1,0
403,Felice Herrig,Karolina Kowalkiewicz,0,0,Derek Cleary,Sal D'Amato,Chris Lee,29-28,29-28,28-29,1,1,0,0,1,1,1,0
404,Israel Adesanya,Marvin Vettori,1,1,Derek Cleary,Chris Hayes,Chris Lee,29-28,29-28,28-29,1,1,0,3,1,1,1,0
405,Cortney Casey,Michelle Waterson,0,1,Sal D'Amato,Chris Flores,Dave Hagen,28-29,29-28,29-28,0,1,1,2,0,1,0,0
406,Ronaldo Souza,Kelvin Gastelum,0,0,Guilherme Bravo,Sal D'Amato,Chris Lee,29-28,28-29,29-28,1,0,1,1,1,1,0,1
407,Michel Prazeres,Zak Cummings,1,1,Fabio Alves,Chris Lee,Marcelo Vilhena,29-28,28-29,29-28,1,0,1,4,1,1,0,1
408,Brad Scott,Carlo Pedersoli Jr.,0,0,Howard Hughes,Andy Roberts,Paul Sutherland,29-28,29-28,28-29,1,1,0,3,1,1,1,0
409,Jason Knight,Makwan Amirkhani,0,0,Mark Collett,Howard Hughes,Andy Roberts,29-28,29-28,27-30,1,1,0,4,1,1,1,0
410,Gian Villante,Sam Alvey,0,0,Eric Colón,Tim Corrado,Dave Tirelli,29-28,28-29,29-28,1,0,1,3,1,1,0,1
411,Carla Esparza,Claudia Gadelha,0,0,Michael Bell,Kelvin Caldwell,Brian Puccillo,29-28,28-29,29-28,1,0,1,2,1,1,0,1
412,Robert Whittaker,Yoel Romero,1,0,Sal D'Amato,Chris Lee,Brian Puccillo,47-48,48-47,48-47,0,1,1,0,0,1,0,0
413,Joseph Benavidez,Sergio Pettis,0,0,Michael Bell,Kelvin Caldwell,Brian Puccillo,29-28,30-27,28-29,1,1,0,1,1,1,1,0
414,Mirsad Bektic,Ricardo Lamas,1,1,Sal D'Amato,Chris Lee,Brandon Mason,28-29,29-28,30-27,0,1,1,4,1,0,1,1
415,Matt Schnell,Naoki Inoue,1,1,Evan Field,Garth Harriman,Charlie Keech,29-28,28-29,29-28,1,0,1,3,1,1,0,1
416,Ji Yeon Kim,Melinda Fabian,1,1,Ben Cartlidge,Garth Harriman,Charlie Keech,29-28,29-28,28-29,1,1,0,3,1,1,1,0
417,Matt Bessette,Steven Peterson,0,0,Junichiro Kamijo,Chris Lee,Glenn Trowbridge,29-28,28-29,29-28,1,0,1,3,1,1,0,1
418,Alessio Di Chirico,Julian Marquez,1,0,Adalaide Byrd,Sal D'Amato,Dave Hagen,29-28,29-28,27-30,1,1,0,4,0,0,0,1
419,Alex Caceres,Martin Bravo,1,1,Derek Cleary,Dave Hagen,Rick Winter,29-28,29-28,28-29,1,1,0,3,1,1,1,0
420,Joe Giannetti,Michael Trizano,0,0,Dave Hagen,Junichiro Kamijo,Glenn Trowbridge,29-28,29-28,28-29,1,1,0,4,1,1,1,0
421,Mike Perry,Paul Felder,1,1,Michael Bell,Dave Hagen,Chris Lee,29-28,28-29,29-28,1,0,1,4,1,1,0,1
422,Dennis Bermudez,Rick Glenn,0,1,Mike Mikkelson,Tim Turner,Tony Weeks,30-27,28-29,29-28,1,0,1,1,0,0,1,0
423,Justin Scoggins,Said Nurmagomedov,0,1,Dave Hagen,Mike Mikkelson,Marcos Rosales,29-28,28-29,29-28,1,0,1,3,0,0,1,0
424,Danny Roberts,David Zawada,1,1,Ben Cartlidge,Howard Hughes,Takeo Kobayashi,29-28,29-28,27-30,1,1,0,4,1,1,1,0
425,Damir Hadzovic,Nick Hein,1,1,Ben Cartlidge,Pawel Harasim,Howard Hughes,29-28,29-28,28-29,1,1,0,3,1,1,1,0
426,Kyung Ho Kang,Ricardo Ramos,0,0,Derek Cleary,Sal D'Amato,Marcos Rosales,28-29,29-28,29-28,0,1,1,3,1,0,1,1
427,Demetrious Johnson,Henry Cejudo,0,0,Sal D'Amato,Ron McCarthy,Marcos Rosales,48-47,48-47,47-48,1,1,0,2,1,1,1,0
428,Angela Hill,Cortney Casey,0,1,Sal D'Amato,Matt Prieto,Glenn Trowbridge,29-28,28-29,30-27,1,0,1,0,0,0,1,0
429,Andre Fili,Michael Johnson,0,1,Sal D'Amato,Kristy Gynan,Glenn Trowbridge,29-28,27-30,29-28,1,0,1,4,0,0,1,0
430,Jarred Brooks,Robert Sanchez,1,1,Steve Armstrong,Chris Lee,Don Turnage,29-28,29-28,28-29,1,1,0,4,1,1,1,0
431,Irene Aldana,Lucie Pudilova,1,1,Steve Armstrong,Chris Lee,Don Turnage,29-28,29-28,28-29,1,1,0,0,1,1,1,0
432,Kajan Johnson,Rustam Khabilov,0,1,Ben Cartlidge,David Lethaby,Maciej Motylewski,29-28,28-29,29-28,1,0,1,2,0,0,1,0
433,Andre Ewell,Renan Barao,1,1,Derek Cleary,Hallison Pontes,Marcelo Vilhena,29-28,29-28,28-29,1,1,0,5,1,1,1,0
434,Ed Herman,Gian Villante,0,0,Hubert Earle,Bob LeBlanc,David Therien,29-28,28-29,29-28,1,0,1,3,1,1,0,1
435,Julio Arce,Sheymon Moraes,0,0,Derek Cleary,Douglas Crosby,Chris Lee,29-28,30-26,28-29,1,1,0,1,1,1,1,0
436,Eric Shelton,Joseph Morales,1,1,Chris Lee,Ben Ramirez,Curtis Thrasher,29-28,30-27,27-30,1,1,0,4,1,1,1,0
437,Luis Pena,Michael Trizano,0,0,Sal D'Amato,Chris Lee,Ben Ramirez,28-29,29-28,30-27,0,1,1,1,1,0,1,1
438,Amanda Cooper,Ashley Yoder,0,1,Derek Cleary,Curtis Thrasher,Mark Van Tine,29-28,29-28,27-30,1,1,0,4,0,0,0,1
439,Joby Sanchez,Mark De La Rosa,0,0,Sal D'Amato,Hale Hilsabeck,Curtis Thrasher,29-28,30-27,28-29,1,1,0,3,1,1,1,0
440,Martin Day,Liu Pingyuan,0,1,Mark Craig,Barry Foley,Garth Harriman,29-28,28-29,29-28,1,0,1,3,0,0,1,0
441,Julija Stoliarenko,Leah Letson,0,0,Adalaide Byrd,Junichiro Kamijo,Ron McCarthy,28-29,29-28,29-28,0,1,1,3,1,0,1,1
442,Darren Stewart,Edmen Shahbazyan,0,0,Junichiro Kamijo,Chris Lee,Patricia Morse Jarman,28-29,29-28,29-28,0,1,1,2,1,0,1,1
443,Keita Nakamura,Salim Touahri,1,1,Howie Booth,Howard Hughes,Charlie Keech,30-27,28-29,29-28,1,0,1,4,1,1,0,1
444,Jessica Eye,Katlyn Cerminara,1,1,Dr. Greg Jackson,Benoit Roussel,Declan Woods,29-28,28-29,29-28,1,0,1,3,1,1,0,1
445,Hakeem Dawodu,Kyle Bochniak,1,1,Eric Colón,Jason Rodgers,Benoit Roussel,30-27,30-27,28-29,1,1,0,5,1,1,1,0
446,Elias Theodorou,Eryk Anders,1,1,Sal D'Amato,Christopher Doyle,Benoit Roussel,29-28,29-28,28-29,1,1,0,3,1,1,1,0
447,Dwight Grant,Zak Ottow,0,1,Chris Lee,Brian Puccillo,Rick Winter,29-28,28-29,29-28,1,0,1,4,0,0,1,0
448,Livinha Souza,Sarah Frota,1,1,Guilherme Bravo,Hallison Pontes,Joseph Terrell,29-28,28-29,29-28,1,0,1,4,1,1,0,1
449,Max Griffin,Thiago Alves,0,1,Michael Bell,Guilherme Bravo,Hallison Pontes,28-29,29-28,29-28,0,1,1,3,0,1,0,0
450,Mara Romero Borella,Taila Santos,1,1,Chris Lee,Hallison Pontes,Joseph Terrell,28-29,29-28,29-28,0,1,1,4,1,0,1,1
451,Magomed Bibulatov,Rogerio Bontorin,0,0,Michael Bell,Guilherme Bravo,Joseph Terrell,29-28,28-29,29-28,1,0,1,4,1,1,0,1
452,Kai Kara-France,Raulian Paiva,1,0,Derek Cleary,Garth Harriman,Christopher Shen,29-28,28-29,29-28,1,0,1,3,0,0,1,0
453,Hannah Cifers,Polyana Viana,1,0,Dave Hagen,Ron McCarthy,Tony Weeks,28-29,29-28,29-28,0,1,1,3,0,1,0,0
454,Jeff Hughes,Maurice Greene,0,1,Michael Bell,Kevin Champion,Sal D'Amato,29-28,29-28,28-29,1,1,0,3,0,0,0,1
455,Jack Marshman,John Phillips,1,0,Mark Collett,Pawel Harasim,Andy Roberts,29-28,28-29,29-28,1,0,1,3,0,0,1,0
456,Gunnar Nelson,Leon Edwards,0,0,Howard Hughes,Anders Ohlsson,Andy Roberts,28-29,29-27,29-28,0,1,1,1,1,0,1,1
457,Dominick Reyes,Volkan Oezdemir,1,0,Junichiro Kamijo,Andy Roberts,Paul Sutherland,29-28,28-29,29-28,1,0,1,5,0,0,1,0
458,Gerald Meerschaert,Kevin Holland,0,1,Greg Monskie,Dave Tirelli,Cardo Urso,29-28,28-29,30-27,1,0,1,1,0,0,1,0
459,Alan Jouban,Dwight Grant,0,0,Derek Cleary,Ken Coffey,Anthony Maness,29-28,29-28,27-30,1,1,0,4,1,1,1,0
460,Antonina Shevchenko,Roxanne Modafferi,0,0,Mark Collett,Howard Hughes,Maria Makhmutova,29-28,29-28,28-29,1,1,0,2,1,1,1,0
461,Andrei Arlovski,Augusto Sakai,0,1,Derek Cleary,Chris Lee,Troy Wincapaw,28-29,29-28,29-28,0,1,1,3,0,1,0,0
462,Cory Sandhagen,John Lineker,1,0,Derek Cleary,Chris Lee,Barry Luxenberg,29-28,28-29,29-28,1,0,1,0,0,0,1,0
463,Court Mcgee,Dhiego Lima,0,0,Richard Bertrand,Sal D'Amato,Chris Lee,28-29,30-27,29-28,0,1,1,3,1,0,1,1
464,Cub Swanson,Shane Burgos,0,0,Eric Colon,David Therien,Declan Woods,29-28,27-30,30-27,1,0,1,0,1,1,0,1
465,Jon Jones,Thiago Santos,1,1,Michael Bell,Derek Cleary,Junichiro Kamijo,48-47,48-47,47-48,1,1,0,3,1,1,1,0
466,Karl Roberson,Wellington Turman,1,0,Michael Bell,Derek Cleary,Wade Vierra,29-28,28-29,29-28,1,0,1,5,0,0,1,0
467,Domingo Pilarte,Felipe Colares,0,1,Jennie Cardenas,Gino Garcia,Marcos Rosales,28-29,29-28,29-28,0,1,1,4,0,1,0,0
468,Irene Aldana,Raquel Pennington,0,0,Ruben Carrion,Perry Hillin,Marcos Rosales,28-29,29-28,29-28,0,1,1,3,1,0,1,1
469,Krzysztof Jotko,Marc-Andre Barriault,1,1,Derek Cleary,Kevin Dornan,Dave Hagen,29-28,28-29,29-28,1,0,1,4,1,1,0,1
470,Bobby Moffett,Enrique Barzola,0,0,Eric Colon,Phillipe Iorio,Joseph Terrell,28-29,30-27,29-28,0,1,1,0,1,0,1,1
471,Chris Gutierrez,Geraldo De Freitas,1,0,Phillipe Iorio,Joseph Terrell,Tony Weeks,29-28,27-30,29-28,1,0,1,4,0,0,1,0
472,Mike Perry,Vicente Luque,0,0,Guilherme Bravo,Eric Colon,Joseph Terrell,28-29,29-28,29-28,0,1,1,3,1,0,1,1
473,Brandon Davis,Kyung Ho Kang,0,0,Derek Cleary,Luis Cobian,Ron McCarthy,29-28,28-29,29-28,1,0,1,2,1,1,0,1
474,Mizuki Inoue,Wu Yanan,1,1,Barry Foley,Garth Harriman,Albert Shen,29-28,29-28,28-29,1,1,0,0,1,1,1,0
475,Karol Rosa,Lara Procopio,1,1,Garth Harriman,Howard Hughes,Albert Shen,29-28,30-27,28-29,1,1,0,0,1,1,1,0
476,Andrea Lee,Joanne Wood,0,0,Ben Cartlidge,Pawel Harasim,Maria Makhmutova,28-29,30-27,29-28,0,1,1,0,1,0,1,1
477,Edson Barboza,Paul Felder,0,1,Howie Booth,David Lethaby,Maria Makhmutova,27-30,29-28,30-27,0,1,1,3,0,1,0,0
478,Antonio Carlos Junior,Uriah Hall,0,0,Michael Bell,Sal D'Amato,David Therien,29-28,28-29,29-28,1,0,1,1,1,1,0,1
479,Cole Smith,Miles Johns,0,0,Michael Bell,Derek Cleary,Dave Hagen,29-28,28-29,29-28,1,0,1,1,1,1,0,1
480,Glover Teixeira,Nikita Krylov,1,1,Michael Bell,Sal D'Amato,Dave Hagen,28-29,29-28,29-28,0,1,1,4,1,0,1,1
481,Brandon Davis,Giga Chikadze,0,0,Nicolaj Bulow,Andreas Gruner,Cezary Wojciechowski,29-28,28-29,29-28,1,0,1,1,1,1,0,1
482,Dhiego Lima,Luke Jumeau,1,1,Garth Harriman,Charlie Keech,Christopher Shen,28-29,29-28,29-28,0,1,1,4,1,0,1,1
483,Luis Pena,Matt Frevola,0,0,Chris Lee,Daniel Torres,Tony Weeks,28-29,29-28,29-28,0,1,1,2,1,0,1,1
484,Eryk Anders,Gerald Meerschaert,1,0,Derek Cleary,Michelle Olney,Tony Weeks,28-29,29-28,29-28,0,1,1,3,0,1,0,0
485,Darren Stewart,Deron Winn,1,0,Eric Colon,Nick Mahmood,Dave Tirelli,29-28,29-28,28-29,1,1,0,5,0,0,0,1
486,Ashley Yoder,Randa Markos,0,0,Mark Collett,Evan Field,Howard Hughes,29-28,28-29,29-28,1,0,1,1,1,1,0,1
487,Alexandra Albu,Loma Lookboonmee,0,0,Mark Collett,Barry Foley,Pawel Harasim,30-27,28-29,30-27,1,0,1,3,1,1,0,1
488,Darren Till,Kelvin Gastelum,1,1,Eric Colon,Chris Lee,Dave Tirelli,29-28,30-27,27-30,1,1,0,4,1,1,1,0
489,Blagoy Ivanov,Derrick Lewis,0,0,Eric Colon,Chris Lee,Dave Tirelli,28-29,29-28,30-27,0,1,1,4,1,0,1,1
490,Hakeem Dawodu,Julio Arce,1,1,Derek Cleary,Eric Colon,Chris Lee,29-28,29-28,28-29,1,1,0,3,1,1,1,0
491,Davey Grant,Grigorii Popov,1,1,Lukasz Bosacki,Howard Hughes,Paul Sutherland,29-28,29-28,28-29,1,1,0,4,1,1,1,0
492,Klidson Abreu,Shamil Gamzatov,0,1,Lukasz Bosacki,Howard Hughes,Paul Sutherland,28-29,29-28,29-28,0,1,1,3,0,1,0,0
493,Ronaldo Souza,Jan Blachowicz,0,0,Sal D'Amato,Chris Lee,Hallison Pontes,48-47,48-47,47-48,1,1,0,1,1,1,1,0
494,Jose Aldo,Marlon Moraes,0,0,Michael Bell,Eric Colon,Mark Smith,28-29,29-28,29-28,0,1,1,3,1,0,1,1
495,Heili Alateng,Ryan Benoit,1,1,Ben Cartlidge,Anthony Dimitriou,Evan Field,29-28,29-28,28-29,1,1,0,4,1,1,1,0
496,Aleksandar Rakic,Volkan Oezdemir,0,1,Mark Collett,Anthony Dimitriou,Evan Field,29-28,29-28,28-29,1,1,0,3,0,0,0,1
497,Kyung Ho Kang,Liu Pingyuan,1,1,Ben Cartlidge,Evan Field,Paul Sutherland,29-28,28-29,30-27,1,0,1,4,1,1,0,1
498,Jj Aldrich,Sabina Mazo,0,1,Adalaide Byrd,Junichiro Kamijo,Chris Lee,29-28,29-28,28-29,1,1,0,0,0,0,0,1
499,Andre Ewell,Jonathan Martinez,1,0,Danny Dealejandro,JJ Ferraro,Joe Soliz,29-28,28-29,30-27,1,0,1,3,0,0,1,0
500,Andrea Lee,Lauren Murphy,0,1,Danny Dealejandro,Chris Lee,Patrick Patlan,30-27,28-29,29-28,1,0,1,0,0,0,1,0
501,James Krause,Trevin Giles,0,0,JJ Ferraro,Patrick Patlan,Joe Soliz,29-28,28-29,29-28,1,0,1,3,1,1,0,1
502,Dan Ige,Mirsad Bektic,1,1,JJ Ferraro,Patrick Patlan,Marcos Rosales,29-28,28-29,29-28,1,0,1,5,1,1,0,1
503,Dan Hooker,Paul Felder,1,0,Barry Foley,Howard Hughes,David Lethaby,47-48,48-47,48-47,0,1,1,0,0,1,0,0
504,Brad Riddell,Magomed Mustafaev,1,1,Howie Booth,Barry Foley,Luke Hill,29-28,28-29,29-28,1,0,1,5,1,1,0,1
505,Giga Chikadze,Jamall Emmers,1,1,Eric Colon,Junichiro Kamijo,Tony Weeks,29-28,29-28,28-29,1,1,0,3,1,1,1,0
506,Alex Oliveira,Max Griffin,1,1,Sal D'Amato,Dave Hagen,Chris Lee,28-29,29-28,29-28,0,1,1,4,1,0,1,1
507,Ryan Spann,Sam Alvey,1,1,Sal D'Amato,Chris Lee,Dave Tirelli,29-28,28-29,29-28,1,0,1,4,1,1,0,1
508,Aleksei Oleinik,Fabricio Werdum,1,1,Derek Cleary,Chris Lee,Barry Luxenberg,28-29,29-28,29-28,0,1,1,5,1,0,1,1
509,Carla Esparza,Michelle Waterson,1,0,Sal D'Amato,Howard Reichbach,Dave Tirelli,29-28,30-27,27-30,1,1,0,4,0,0,0,1
510,Ray Borg,Ricky Simon,0,0,Derek Cleary,Sal D'Amato,Dave Tirelli,29-28,29-28,28-29,1,1,0,2,1,1,1,0
511,Ben Rothwell,Ovince Saint Preux,1,1,Derek Cleary,Sal D'Amato,Dave Tirelli,29-28,28-29,29-28,1,0,1,4,1,1,0,1
512,Angela Hill,Claudia Gadelha,0,1,Sal D'Amato,Chris Lee,Dave Tirelli,28-29,29-28,29-28,0,1,1,3,0,1,0,0
513,Dan Ige,Edson Barboza,1,0,Derek Cleary,Sal D'Amato,Troy Wincapaw,29-28,29-28,28-29,1,1,0,3,0,0,0,1
514,Augusto Sakai,Blagoy Ivanov,1,1,Michael Bell,Junichiro Kamijo,Ron McCarthy,27-30,29-28,29-28,0,1,1,3,1,0,1,1
515,Charles Rosa,Kevin Aguilar,1,1,Eric Colón,Sal D'Amato,Dave Hagen,29-28,29-28,28-29,1,1,0,3,1,1,1,0
516,Andre Fili,Charles Jourdain,1,1,Derek Cleary,Eric Colón,Ron McCarthy,29-28,29-28,28-29,1,1,0,4,1,1,1,0
517,Alexander Volkanovski,Max Holloway,1,0,Mark Collett,David Lethaby,Clemens Werner,48-47,47-48,48-47,1,0,1,0,0,0,1,0
518,Elizeu Zaleski Dos Santos,Muslim Salikhov,0,1,Lukasz Bosacki,David Lethaby,Clemens Werner,30-27,28-29,29-28,1,0,1,4,0,0,1,0
519,Jessica Andrade,Rose Namajunas,0,0,Mark Collett,Anders Ohlsson,Vito Paolillo,28-29,29-28,29-28,0,1,1,3,1,0,1,1
520,Mauricio Rua,Rogerio Nogueira,1,1,Ben Cartlidge,Mark Collett,David Lethaby,29-28,28-29,29-28,1,0,1,4,1,1,0,1
521,Carla Esparza,Marina Rodriguez,1,0,Ben Cartlidge,Anders Ohlsson,Clemens Werner,29-28,28-29,30-27,1,0,1,4,0,0,1,0
522,Ali Alqaisi,Irwin Rivera,0,0,Eric Colón,Dave Hagen,Junichiro Kamijo,29-28,28-29,29-28,1,0,1,4,1,1,0,1
523,Frankie Edgar,Pedro Munhoz,1,0,Derek Cleary,Eric Colón,Sal D'Amato,48-47,48-47,46-49,1,1,0,0,0,0,0,1
524,Angela Hill,Michelle Waterson,0,1,Derek Cleary,Sal D'Amato,Chris Lee,48-47,49-46,47-48,1,1,0,0,0,0,0,1
525,Andre Ewell,Irwin Rivera,1,1,Michael Bell,Dave Hagen,Junichiro Kamijo,29-28,29-28,28-29,1,1,0,0,1,1,1,0
526,Darren Stewart,Kevin Holland,0,0,Eric Colón,Sal D'Amato,Ron McCarthy,29-28,29-28,28-29,1,1,0,1,1,1,1,0
